skills,Mixed farmer,Agricultural Technician,Farm Manager,Agricultural Engineer,Agricultural Inspector,"Wholesale merchant in agricultural raw materials, seeds and animal feeds",Crop production manager,Crop production worker,Agronomic crop production team leader
cultivating land and crops,0.09,0.06,0.09,0,0.024390244,0,0,0,0
complying with health and safety procedures,0.18,0.06,0.06,0,0.048780488,0,0,0,0
conducting academic or market research,0,0.09,0,0.09375,0.12195122,0.0625,0,0,0
operating agricultural or forestry equipment,0.18,0,0.06,0,0,0,0,0,0
negotiating and managing contracts and agreements,0,0,0.06,0,0,0.1875,0,0,0
tending and breeding animals,0.18,0,0.06,0,0,0,0,0,0
directing operational activities,0.09,0,0.06,0,0.024390244,0,0,0,0
"promoting products, services, or programs",0.09,0,0.11,0,0,0,0,0,0
advising on business or operational matters,0,0.06,0,0.0625,0.024390244,0,0,0,0
analysing business operations,0,0.06,0,0.0625,0.048780488,0,0,0,0
installing wooden and metal components,0,0,0.03,0.0625,0.024390244,0,0,0,0
complying with environmental protection laws and standards,0,0,0.03,0.03125,0.024390244,0,0,0,0
management skills,0.09,0,0.06,0,0,0,0.05,0,0.02
monitoring safety or security,0,0,0,0,0.146341463,0,0,0,0
analysing scientific and medical data,0,0.11,0,0,0.024390244,0,0,0,0
technical or academic writing,0,0.06,0,0.03125,0.048780488,0,0,0,0
advising on environmental issues,0,0.03,0,0.03125,0.024390244,0,0,0,0
analysing financial and economic data,0,0,0,0.0625,0,0.0625,0,0,0
identifying opportunities,0,0,0,0,0,0.125,0,0,0
engaging with others to identify needs,0,0,0,0,0,0.125,0,0,0
planning production processes,0,0,0.03,0.03125,0,0.0625,0,0,0
"planting, pruning and harvesting trees, crops and other plants",0,0,0,0,0,0,0,0,0
using computer aided design and drawing tools,0,0,0,0.09375,0,0,0,0,0
designing systems and products,0,0,0,0.09375,0,0,0,0,0
disposing of non-hazardous waste or debris,0.09,0,0,0,0,0,0,0,0
"evaluating systems, programmes, equipment and products",0,0.06,0,0.03125,0,0,0,0,0
monitoring financial and economic resources and activity,0,0,0,0,0.024390244,0.0625,0,0,0
monitoring environmental conditions,0,0.06,0,0,0.024390244,0,0,0,0
gathering information from physical or electronic sources,0,0.06,0,0,0.024390244,0,0,0,0
purchasing goods or services,0,0,0.06,0,0.024390244,0,0,0,0
performing calculations,0,0.06,0,0,0,0,0,0,0
cleaning interior and exterior of buildings,0,0.03,0,0,0,0,0,0,0
assessing land or real estate,0,0.03,0,0,0,0,0,0,0
"preparing financial documents, records, reports, or budgets",0,0,0,0,0,0.0625,0,0,0
performing risk analysis and management,0,0,0,0,0,0.0625,0,0,0
accessing and analysing digital data,0,0,0,0,0,0.0625,0,0,0
"designing industrial materials, systems or products",0,0,0,0.0625,0,0,0,0,0
liaising and networking,0,0,0,0,0,0.0625,0,0,0
developing professional relationships or networks,0,0,0,0,0,0.0625,0,0,0
developing solutions,0,0,0,0.0625,0,0,0,0,0
tending and breeding aquatic animals,0,0.06,0,0,0,0,0,0,0
"maintaining electrical, electronic and precision equipment",0,0.06,0,0,0,0,0,0,0
advising on design or use of technologies,0,0,0.06,0,0,0,0,0,0
presenting general information,0,0,0.06,0,0,0,0,0,0
monitoring operational activities,0,0.03,0.03,0,0,0,0,0,0
maintaining operational records,0,0,0,0.03125,0.024390244,0,0,0,0
collecting and preparing specimens or materials for testing,0,0,0,0,0.048780488,0,0,0,0
ensuring compliance with legislation,0,0,0,0,0.048780488,0,0,0,0
advising on workplace health and safety issues,0,0,0,0,0.048780488,0,0,0,0
responding to complaints,0,0,0,0,0.048780488,0,0,0,0
storing goods and materials,0,0,0,0,0,0,0,0,0
using hand tools,0,0,0,0,0,0,0,0,0
calculating and estimating,0,0,0,0.03125,0,0,0,0,0
"directing, supervising and coordinating projects",0,0,0,0.03125,0,0,0,0,0
developing policies and legislation,0,0,0,0.03125,0,0,0,0,0
developing operational policies and procedures,0,0,0,0.03125,0,0,0,0,0
maintaining mechanical machinery,0,0,0,0.03125,0,0,0,0,0
handling and disposing of hazardous materials,0,0,0.03,0,0,0,0,0,0
"cleaning tools, equipment, workpieces and vehicles",0,0.03,0,0,0,0,0,0,0
reporting incidents and defects,0,0,0.03,0,0,0,0,0,0
estimating resource needs,0,0,0.03,0,0,0,0,0,0
developing objectives and strategies,0,0,0.03,0,0,0,0.02,0,0.02
advising on products and services,0,0.03,0,0,0,0,0,0,0
training on operational procedures,0,0,0.03,0,0,0,0,0,0
implementing new procedures or processes,0,0,0.03,0,0,0,0,0,0
"monitoring, inspecting and testing",0,0,0,0,0.024390244,0,0,0,0
monitoring health conditions of humans and animals ,0,0,0,0,0.024390244,0,0,0,0
"developing financial, business or marketing plans",0,0,0,0,0.024390244,0,0,0,0
presenting information in legal proceedings,0,0,0,0,0.024390244,0,0,0,0
"positioning materials, tools or equipment",0,0,0,0,0,0,0,0,0
moving and lifting,0,0,0,0,0,0,0.09,0.15,0.08
tending plants and crops,0,0,0,0,0,0,0.3,0.38,0.4
cleaning,0,0,0,0,0,0,0.05,0.06,0.04
documenting and recording information,0,0,0,0,0,0,0.05,0.03,0.04
managing information,0,0,0,0,0,0,0.02,0.03,0.02
"organising, planning and scheduling work and activities",0,0,0,0,0,0,0.05,0,0.02
supervising people,0,0,0,0,0,0,0.02,0,0.02
allocating and controlling resources,0,0,0,0,0,0,0.05,0,0.04
operating machinery for the manufacture of products,0,0,0,0,0,0,0.02,0.03,0.02
using precision instrumentation and equipment,0,0,0,0,0,0,0,0.03,0
operating mobile plant,0,0,0,0,0,0,0.09,0.18,0.13
protecting and enforcing,0,0,0,0,0,0,0.09,0.06,0.08
negotiating,0,0,0,0,0,0,0.02,0,0.02
presenting information,0,0,0,0,0,0,0.02,0.03,0
"promoting, selling and purchasing",0,0,0,0,0,0,0.05,0.03,0.04
